InputStoryid	InputSentence1	InputSentence2	InputSentence3	InputSentence4	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding
e721d415-d8b9-479f-a476-bc3f3a239140	Holly alegrouse de estar na casa Segura durante a forte tormenta.	Estaba vendo a tormenta, cando escoitou un forte clic.	Un raio caera nunha árbore xunto á casa.	Mirouno mentres caeu.	Saíu un cometa.	Calmouse para ver que non dera nada.	2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36	Jill viu un Publirreportaje en lentes de vidro irrompibles.	Quedei fascinado e mercounos.	Cando Jill recibiu as lentes, quería probalos.	Lanzou un ao chan de madeira.	Rompeu e Jill sentiuse parvo por ter criado.	O trapo rompeu en dous, para a sorpresa de Jill.	1
00d73c9e-6441-4b23-ad78-f33490a6a1ec	Addie traballaba no Hollister do centro comercial cando entrou un home raro.	Antes de que puidese darse conta, Addie volveuse e viu que roubara roupa.	Addie tiña medo e intentou perseguir ao home.	Por sorte, chegaron os gardas de seguridade e arrestárono.	Addie foi encarcerado polo seu crime.	Addie calmouse e respirou profundamente para relaxarse.	2
a2685475-307b-49a3-85f8-07b32c63e062	Sean tivo unha entrevista de traballo.	Chegou á compañía e preguntou sobre o xerente.	O xerente acompañouno ás costas e entrevistouno.	Entón, o xerente ensinoulle o sitio e explicou o traballo.	O xestor esperaba que non funcionasen ben.	O xestor quería que o entendesen todo.	2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6	Fred fixo unha aposta con Sam para ver quen perdería máis peso nun mes.	Fred quería gañar a verdadeira aposta, había 100 dólares.	Fred exercía todos os días, evitaba comer comida rápida e saltar a cea.	Despois dun mes, Fred tiña claro que ía gañar.	Fred cancelou a aposta despois dun mes.	Fred acabou gañando a aposta e os 100 dólares.	2
749b0981-388d-4deb-83d4-b4bc35b4a168	Juan foi a facer paracaidista por primeira vez.	Era por avión cun instrutor.	Gritou cando saltaron.	Juan tiña moito medo ás alturas e pasou.	Juan gozou de cada segundo paracaidista.	Cando espertou, xa aterraran.	2
7d9b0578-4621-460a-9d67-9705079b0a1c	Gina e a súa familia saían do parque.	Pasaron alí toda a tarde.	Agora foron á casa da súa tía.	Gina suplicou que a deixase na casa da súa avoa	Gina odiaba á súa avoa.	Gina veneraba á súa avoa.	2
71db6e1d-bcb4-4849-bded-f252a32c927c	Kaya necesitaba mercar un vestido novo para o próximo baile de primavera.	Foi ao centro comercial con algúns amigos.	As mozas pasaron un bo rato entrando nas tendas e probando vestidos.	Kaya atopou un vestido que amaba cunha fermosa cor de coral.	Non podía resistir, polo que se mercou o vaso vaso.	Era algo caro, pero decidiu que pagou a pena.	2
41548819-7537-4bbe-8c20-ba78feb5fe0d	Tyler quería celebrar un globos con globos.	Os seus amigos, os seus pais e el hincharon os globos.	Os seus amigos e el xogaron cos globos e pasárono moi ben.	Cansaron e viron unha película e cearon.	Foi un día divertido.	Tyler sentiu que os seus pais nunca o deixaron facer nada.	1
e4443872-3ac9-465e-9d99-88ab9720da81	Jimmy foi a patinar esta tarde.	Foi a terceira vez esta semana.	Está mellorando e gústalle moito.	Caeu unha vez, pero non renunciou.	Despois de todo o que practicou esta semana, Jimmy aprendeu un novo truco.	Jimmy decidiu regalar o seu monopatín.	1
aa03cc32-e85b-4710-8120-aeaba4af65b0	Maxine normalmente odia para afeitar as pernas.	Non lle gusta a sensación de usar unha lámina.	Unha noite, Maxine ten unha cita importante e quere levar un vestido.	Afeitou as pernas para a ocasión.	Maxine non quere ir á cita.	A próxima vez, Maxine faise a depilación con láser.	2
bcde1c24-5e48-4ba9-a8b5-362db0db0129	A Ryan encantoulle personalizar a súa bicicleta.	Decidiu poñer luces LED á bicicleta e ás rodas.	Pediu as pezas de eBay.	Cando chegaron, configurounos.	A Ryan encantoulle como se quedara a bicicleta.	Ryan decidiu nunca andar en bicicleta.	1
107793ec-8721-4897-b0de-17db3578fc10	Un día, quería preparar unha cea especial para a miña familia.	Decidín preparar Spaghettis.	Cociñei os espaguetis e puxen a salsa nunha pota na estufa.	Acendín a estufa e púxeno moi alto.	A salsa queimouse e pegouse á pota.	Tardou moito en quentar a salsa.	1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6	Eles desafiaron a Nick a un xogo de voleibol.	A súa moza apostou por cinco dólares para gañar.	Nick non pensou deixala gañar.	Xogou duro e sen piedade.	Nick gañou á súa moza e ela deulle os cinco dólares.	Nick renunciou porque non lle importaba gañar á súa moza.	1
ae91c584-b9d3-4a0e-b166-6928531d1bed	Algúns amigos e eu formamos un equipo de contra-folga.	Practicamos moito para un próximo torneo.	Fomos ao torneo e revisamos as nosas estratexias.	Xogamos 6 xogos duros.	Sentímonos felices coa nosa participación.	Sentimos que xogamos mal.	1
bee259be-fcd9-4043-9047-0e199aaa8214	Michelle atopou un gato gordo negro fóra da súa casa co intestino branco.	Colgou carteis en todo o seu barrio.	Despois de tres semanas, ninguén chamou a Michelle preguntando sobre o gato.	Michelle decidiu manter o gato.	Michelle deu ao gato á súa veciña.	"Michelle chamou ao gato ""calcetíns"""	2
45896107-bb21-48b8-845d-619d8c19bc34	Neil viaxaba en Irlanda.	O seu tren acababa de chegar a Derry.	Cando baixou, quedou sen alento.	Foi tan fermoso que parecía un conto de fadas!	Neil decidiu nunca volver a Irlanda.	Neil gozou de Irlanda.	2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5	María foi ao parque.	Quería levar o teu novo vestido.	Un paxaro voou sobre María e fixo cacahuete sobre ela.	O seu vestido estaba cheo de caca de aves.	María estaba feliz de levar o vestido.	María estaba enfadada porque arruinara o vestido.	2
49c51e74-be6e-45b9-a223-4c0835ad76c1	Scott sabía que alguén roubaba paquetes de pórtico.	Puxo unha cámara de vixilancia preto da porta.	Pensou que polo menos tería un vídeo do ladrón.	Un día, Scott viu a gravación do delincuente.	Scott golpeou a man.	Scott conservou ao delincuente.	2
2742baab-3956-415e-a1f2-024adc90cae6	O pasado xoves fun á miña primeira clase de ximnasio no ximnasio.	É a clase máis difícil que fun.	Loitei durante unha hora e as miñas pernas adormecidas quedaron.	Cando cheguei a casa, as miñas pernas comezaron a ferir e non puiden andar.	Sentín que podería correr un maratón.	Fun para a cama e descansei ata a mañá.	2
f8594fc8-df33-49d7-a5a9-045765ca8eda	Os amigos de Colin convidárono a ir ao bar.	Encántalle a cervexa, pero parécelle que nos bares é moi caro.	Aínda así, decidiu ir.	Estableceu un límite.	Colin entrou no seu orzamento e só se tomaron 2 cervexas.	Colin leva cervexas no bar toda a noite.	1
353ca466-413a-428c-8b62-8650edc88363	Sally esqueceu o almorzo cando saíu de casa onte.	Considerou volver e tomar algo para comer.	Decidiu mercar algúns no camiño do traballo.	Deuse conta de que non tiña cartos na carteira para mercar o almorzo.	Sally tiña fame.	Entón, Sally mercou un gran almorzo.	1
ab1265ac-d06e-4bad-ba0e-0219d63d3357	Jordan estaba pensando en mudarse a México.	Jordan decidiu que debía aprender español.	Rematou mercando un paquete para aprender idiomas.	Todos os días practicaba polo menos 2 horas.	No momento en que se mudou, Jordan sabía falar algo de español.	A Jordan non lle gustaban os tacos de peixe.	1
40113e9b-360c-4d2d-8969-10cab5ce76f4	Ana e Tim amaron a astroloxía.	De feito, reuníronse nunha clase de astronomía na universidade.	Entón, cando se casaron e quedaron embarazadas, tiñan un dilema.	Non puideron decidir por un nome significativo para a súa filla.	Tim e Ana decidiron preguntar ao seu veterinario.	Despois de moita busca, Tim e Ana atoparon o nome perfecto.	2
c71454d3-16c6-4852-bb0e-1149fd2b0e52	Fred acaba de comezar a facer exercicio e inscribiuse nun ximnasio.	Quedou sorprendido do caro que é un adestrador persoal.	Quería poñer forma, pero non podía permitirse as cotas.	Atopou adestradores persoais gratuítos en internet.	Non volveu facer exercicio.	Estaba contento da súa decisión.	2
d3615153-cfb9-4583-bd93-e1814c250a1c	Foi o segundo partido de voleibol da tempada.	Amy esperaba xogar.	Despois do primeiro partido, foron á cabeza.	O adestrador levouna a xogar.	Finalmente tivo a oportunidade de xogar no xogo.	Díxolle ao seu adestrador que busque outro.	1
1be803ad-225f-4b93-a5ce-3d96deedc495	Ellen tivo catro abortos seguidos.	O seu marido Tim estaba perdendo a esperanza de ser pai.	O doutor chamouno traballo.	Díxolle que tiña boas novas sobre Ellen.	O doutor díxolle que Emily correra.	O médico dixo a Tim que, finalmente, Ellen estaba embarazada.	2
b64b9a40-4e69-4381-ae49-035edf71a232	David preguntoulle a súa nai se podía usar a súa propia bebida.	A súa nai estivo de acordo, pero advertiulle de que tiña coidado.	David lanzou sen querer o seu vaso, que rompeu en anacos.	A súa nai perdoou a David felizmente.	David comeu unha hamburguesa de queixo.	David prometeu ser máis coidados no futuro.	2
e5ce589a-86a4-4f4e-9a51-87220abdf821	Neil quería xogar ao hoquei.	Os seus amigos prestáronlle algún equipo.	Preparouse e foi á pista de xeo.	Practicou durante días.	Neil xogou ao baloncesto.	Neil xogou no campionato.	2
4803b3ac-1aa0-483b-a79c-2918ff401adf	Eu mantiven o meu bebé Mantita en perfecto estado.	Tiven durante 30 anos.	Saín de casa.	O meu bebé Mantita desapareceu.	Aínda boto de menos ao meu bebé Mantita.	Durmo co meu bebé Mantita todas as noites.	1
e2f74079-bcd6-485a-80c6-24be4fca4ae9	A miña amiga Cam vende libros en Amazon.	Ten 4.000 libros almacenados no garaxe.	Gañou cartos suficientes para vivir dun xeito sinxelo.	Un día, a súa casa prendeu lume e perdeu a súa colección.	Desde entón, Cam decidiu asegurar os seus activos.	Máis tarde, Cam conseguiu vender máis libros que nunca.	1
c473c07a-630f-48e2-b6dd-ebb34d815fc2	O profesor de Rosie estivo en 5 días.	Rosie non tiña cartos para mercar un agasallo.	Pediulle á súa avoa que a ensinase a debuxar xirasoles.	Rosie deseñou un gran xirasol e coloreouno con acuarelas.	O profesor de Rosie encantoulle o agasallo.	A profesora de Rosie castigouna.	1
a0af24f7-ece4-41c0-8411-9c36d5196134	A neveira de Jon foi estragada.	Chamou a unha empresa de servizos para solucionala.	Dixéronlle que podían ir ao día seguinte ao mediodía.	Cando chegaron, Jon recibiunos na porta e deixounos pasar.	A compañía fixou a televisión.	A compañía arranxou a neveira.	2
8ae17467-e396-4f89-9d2a-eeade4539358	Un home pediu un vello reloxo en eBay.	Recibiu unha caixa con seis fusibles queimados e unha botella pequena.	Puxo unha reclamación a Ebay.	EBay negouse a procesar un reembolso.	O home está furioso.	EBay é unha empresa moi seria.	1
8e61c1c5-582f-4379-b332-dcb96faf3bf9	Tomás e Ricardo encantáronlles os seus camións.	Saían ao deserto cada semana.	Levantaron area coas rodas e divertíronse con elas.	Entón o camión de Tomás rompeu.	Custou moitos cartos, pero reparado.	Tomás sabía que sería caro reparar o seu barco.	1
a28a894f-ea54-438a-93c5-cae7e4564ec4	Enrique foi a un parque temático coa súa familia.	O seu pai e o seu irmán montáronse con el nunha gran montaña rusa.	Despois creou en atraccións máis pequenas coa súa nai.	A familia comía nun restaurante do parque.	A Enrique non lle gustaron os parques temáticos.	Enrique pasou un bo rato no parque.	2
932e37d4-1305-4e54-8fee-ba649e7c7206	Tivo unha presentación de arte.	O profesor suspendeume aínda que fixen todo ben.	Deixoume repetir a presentación e suspendeume de novo.	Pensei que o fixera ben e defendía a miña presentación.	O profesor recomendou estudar belas artes.	O profesor aceptou falar comigo.	2
f935f831-38bc-4b00-83c6-3891a4dacefc	"Lea tivo un xogo de ""hoquei""."	Toda a súa familia foi a animala.	Pero cando chegou alí entendeu que non eran suficientes.	Só algunhas rapazas parecían xogar.	Lea quedou moi feliz ao recibir a noticia.	O xogo foi cancelado.	2
345e1032-0c47-48e6-9968-e04baa479d06	Ava comezou a notar que tiña engurras polos seus ollos.	Comprouse unha crema anti -engurras de cara.	Lanzouno todas as noites.	Despois dun mes, mirou atentamente aos seus ollos.	Decidiu mercar máis pasta de dentes.	Estaba contento de ver que as engurras desapareceron.	2
bb5695c6-6c1c-4de6-b56c-6b23077d3df5	Enrique mercou moito en liña e buscaba unha nova cámara.	Estaba investigando diferentes cámaras en internet e decidiu mercar unha.	Fixo a compra e recibiu a cámara por correo a semana seguinte.	Cando Enrique abriu o paquete, entendeu que a cámara estaba danada.	Enfadado, contactou co vendedor para queixarse ​​do dano.	Enrique pasou a tarde facendo fotos feliz.	1
6ab897f0-4f61-40f1-afa6-e9485e44316d	Jasper levaba meses evitando un traballo serio.	Odiaba todo o traballo de oficina que antes tiña.	Un día viu unha oferta de traballo na carnicería do barrio.	Lanzou o currículo e conseguiu o traballo na carnicería.	Jasper deixa o traballo ao día seguinte.	A Jasper encántalle cortar animais mortos.	2
1a2bead1-a985-44e6-966c-44c4a77afe37	Despois de conseguir todas as cousas que necesitabamos para a festa, invitei aos nosos amigos.	A maioría quedou encantado de vir comer!	Tardou aproximadamente unha hora pero todos eran puntuais.	En canto chegaron comezamos a comer e divertirnos.	Estaba desexando os meus amigos.	Encantoume organizar festas.	2
ed448375-accb-4425-b7ed-e5af03f0d477	Tomás entendeu que xa non estaba feliz no seu traballo.	Tomás decidiu que era hora de atopar un novo traballo.	Tomás buscou anuncios clasificados e enviou algún currículo.	Tomás foi a entrevistas ao traballo e falou con moita xente.	Ao final recibiu unha oferta de traballo.	Tomás estaba triste de deixar o seu horrible traballo.	1
0a0efb23-8cb3-4481-9ff4-e5c9d47fb914	Invitaron a Linda a tomar té na casa dun compañeiro de clase de inglés.	Decidiu levar algo como espectáculo de gratitude.	Atopou unha receita para os bullytes de limón en liña e preparounos.	Os Bollitos eran moi ricos e sentíronse orgullosos de darlles ao seu anfitrión.	Pasárono moi ben merendando.	A compañeira de clase de Linda quería que se marchase.	1
f747b29b-73ff-43c8-b06d-62f56ac0f67c	Ashley devolveu o importe da conta de ingresos.	Entón decidiu ir ao centro comercial.	Ashley e a súa parella de chan foron en coche ata o centro comercial.	Estaban na tenda na tenda probando cousas.	Ashley non podía mercar nada porque non tiña cartos.	Compraron moita roupa.	2
5488ad4e-968e-4113-b3f1-23a27e40e52a	Pablo graduouse no instituto.	Non o aceptaron na universidade.	A súa nai suxeriu buscar traballo.	Pablo parecía boa idea.	Paul estaba moi enfadado coa súa nai.	Paul atopou traballo.	2
0aa4d795-2af4-489d-84d2-a3476cfc9019	Os mestres planos de Harvey burláronse del por ser tan delgados.	Eran moi presuntos futbolistas.	Desafiaron a Harvey a un xogo de tenis de mesa porque esperaban que perdeu.	"Pero non sabían que Harvey era un xogador nacional de ""clasificación""."	Harvey púxose nervioso e perdeu todos os xogos que xogou.	Todos se sentaron coa boca aberta mentres Harvey gañounos a todos.	2
666d1b41-7e20-41cc-b6a7-5bc3eb9ed7b7	Creo que onte decateime de que non debería estudar matemáticas.	Estiven no supermercado facendo a compra semanal.	Tiña preto de vinte artigos e cría que non me sucedera ao orzamento.	Cando fun pagar, tiña dez dólares!	Entón decateime de que non era bo para as matemáticas.	Entón tiña claro que as matemáticas eran xeniais.	1
08f3861d-5511-4f65-9611-0c67ec71561c	O coche vermello da miña familia estalou o ano pasado.	A nosa familia necesitaba un coche de 2 portas que tiña un bo consumo de quilómetros.	Visitamos algunhas persoas que venderon coches.	Os meus pais buscaron varios concesionarios.	Compraron outro coche vermello.	Os meus pais mercaron algunhas motocicletas correspondentes.	1
05f5c44c-6d88-4c50-8c88-d9ad55fbaa8c	O teléfono de Gina quedou sen batería mentres saían pola estrada.	Conectou o asento dianteiro, pero ela foi no asento traseiro.	Estaba aburrido sen o teléfono polo que intentou alcanzalo.	Estaba sentado nun extremo e o teléfono estaba demasiado lonxe.	Comportouse como unha rapaza mimada e tomou un atropelo.	A Gina non lle interesa a electrónica.	1
e7be4ea9-4bb9-4141-90d5-351d6377c9fc	Estaba sentado no soportal disfrutando do día.	Cando de súpeto un forte golpe perturbou a miña tranquilidade.	Levanteime nun estraño salto.	A porta abriuse de súpeto.	Decateime de que necesitaba ruído para durmir.	Decateime de que só fora o vento.	2
8e5c1dce-bed9-4754-9565-89b1d10b1aec	Na biblioteca do barrio de Gina non había libros de golfiños.	Tiven que atopar outra biblioteca.	O máis próximo estaba no centro.	A súa nai díxolle que non a levase.	Gina e a súa nai saíron inmediatamente.	Gina decidiu camiñar.	2
9a37e0a5-a537-4af1-ab7d-c39c440ee8d6	Alan recibiu unha arma aos 18 anos.	O seu pai levouno ao campo de tiro para practicar.	Alan era un tirador moi malo!	Pero seguiu insistindo e practicou moito.	Despois quedou durmido.	Agora encántalle ir á caza.	2
0e499832-cc4e-459d-a066-de6e73aa77f9	Jay só comía no McDonald's e foi a botar sobras no lixo.	En canto os lanzou, entendeu que había unha promoción.	Había algunhas pezas de xogo nas patacas polo que o sacou do lixo.	Separou a peza do xogo e non o podía crer.	Jay pensou que Burger King era incrible.	El criara no lixo en absoluto.	2
1b99f1e5-e8e4-4ae9-b05b-e5c8324e8768	Había unha vez un home chamado Juan.	Traballei nunha fábrica.	Despedírono da fábrica polo seu baixo rendemento.	Polo tanto, tivo que buscar outro traballo.	Juan era un traballador problemático.	Juan era un traballador extraordinario.	1
9a6318d7-6a3e-4745-bba9-b3754190352a	Kim viu a unha nai sacando cousas do carro da compra nun aparcadoiro.	O bebé da muller estaba sentado no asento para carros do carro.	De súpeto, mentres a nai estaba de costas, o carro comezou a rodar!	Kim entendeu que o rapaz corría un gran perigo e lanzouse ao carro.	Kim, pantando, salvou ao neno.	Kim colleu o carro pero soltou ao neno.	1
66c79a45-25be-4066-9d36-016637bd57c5	O pai de Kev preguntoulle se quería que o levase a cazar.	Kev dixo que o pensaría.	Entón concluíu que non lle gustaba cazar.	Parecía cruel para os animais.	Kev estaba ansioso por probar a súa nova escopeta.	Kev decidiu non ir á caza.	2
598c2da4-91cb-4adb-8d09-0de672cdebe8	Cando Emilia era nova, ía ao seu primeiro concerto.	Estaba nervioso por todas as persoas que ían estar no concerto.	Emilia estaba desexando ver ao seu artista favorito no escenario.	A Emilia recibiu a entrada do concerto polo seu aniversario.	Emilia decidiu que non quería a entrada do concerto.	Foi o mellor agasallo de aniversario que Emilia tivo na súa vida.	2
d46e5bd9-8a43-4670-b8c7-fe56f59cceae	Lina quería fritir as rosquillas.	Encheu unha solicitude para a tenda de Dónuts.	Para a súa alegría, a contrataron!	Comezou a traballar para fritir as rosquillas.	Lina odiaba as rosquillas.	A Lina encantoulle o seu novo traballo.	2
5183072a-7b29-4a2e-80bb-120f3fcd8bda	Como viaxe de estudo, a miña clase e eu fomos aos Everglades.	Fixemos varias excursións por algúns dos bosques.	Tamén tivemos a oportunidade de viaxar pola auga.	A viaxe de volta a casa era longa e aburrida.	Cheguei a casa con baterías cargadas.	Cansei a casa.	2
70e3a2c2-6e8a-46cd-9948-2005e1e6bfac	Algúns traballadores de Mechanical Turk uníronse a un foro.	Formaron un grupo pechado e esixiron cada vez máis poder.	Andrés, o propietario do foro, farto e deu a coñecer.	Saíron á intención de crear un foro só para eles.	O novo foro era teu e puxeron as regras.	Despois volveron ao foro porque lles gustou moito.	1
f2d60888-a0aa-4da4-b744-57ac10ae6dc2	Ty, o pequeno fillo de Donna, non lle gustou que lle cortase as uñas.	Tiña as uñas tanto tempo que xa non estaba cómodo con eles.	Donna decidiu esperar ata que quedou durmida.	Cando Ty estaba durmindo a sesta, Donna cortoulle as uñas tranquilamente.	Donna era moito máis fácil porque Ty estaba durmido.	A Donna gustaríame espertarme.	1
52255569-a048-4098-b40a-a9a96bbc754f	Gina non quería sentarse na súa mesa preto dos seus antigos amigos.	Puiden sentir a tensión entre eles.	Decidiu pedir permiso para ir á biblioteca.	O seu profesor aceptou deixala ir durante unha hora.	Gina estaba enfadada porque tiña que ir á biblioteca.	Gina sentíase máis tranquila unha vez que chegou á biblioteca.	2
8585d876-38ad-4846-a5b1-3b8fbd3d8f72	Vivienne quería mudarse de Francia aos Estados Unidos.	Unha parte do proceso de inmigración foi unha entrevista sobre os seus propósitos.	Vivienne non tiña ningún obxectivo nin aspiración profesional.	A entrevista non estivo ben.	Vivienne pronto recibirá o seu visado de correo electrónico.	A Vivienne non se lle concedeu a visa.	2
a7dcd6a0-c9a3-4aa0-b2ed-3e80a03b2dc7	Frank encheu decenas de globos de auga para lanzalos á súa irmá.	Non se imaxinou que ela xa estaba preparada.	Cando comezou o seu ataque, sacou unha enorme pistola de auga.	Foi moito máis eficaz que os seus globos.	Frank matriculouse nunha clase de bioloxía mariña.	Frank mercou unha pistola de auga ao día seguinte.	2
dfeaef6d-d6be-4894-983a-e9484dc3b424	Matt foi a pasear coa súa nai.	De súpeto, viu algo que brillaba no chan.	Inclinouse para recollelo.	Era un anel de ouro!	Matt estaba entusiasmado de ter tanta sorte.	Matt sentiuse frustrado polo que atopara.	1
1658b490-24a4-4f83-a42b-e6c679d0c2c2	O pai de Gina estacionou no aparcadoiro de Walgreens, aberto 24 horas.	Eran aproximadamente as 4 da mañá, pero todos entraron.	Necesitaban cepillos de dentes antes de ir á casa da avoa.	Gina foi a encargada de metelos na maleta antes de marchar.	A familia de Gina quedou encantada de que os seus cepillos de dentes non estivesen na maleta.	Gina sentíase culpable por esquecer os cepillos de dentes de todos.	2
796ab4ea-12d3-489a-b7e8-fce2b430107c	John estaba entusiasmado porque tivo unha entrevista de traballo.	Foi á entrevista moi preparada e moi ben vestida.	Durante a entrevista foi moi comunicativo e agradable.	O xerente da compañía quedou realmente impresionado cos comentarios de John.	Xoán comentou que cría que o lugar estaba mal xestionado.	O xerente decidiu ofrecer a posición de John.	2
09609ed5-1852-4e76-af8d-f08de3742d15	Ben quería un vaso de zume de laranxa.	Non quedaba nada na casa.	Non obstante, tiña unha bolsa con laranxas.	Cortou algo á metade e sacou o pulido.	Coas laranxas, Ben preparou un zume de laranxa recentemente espremido.	Ben deu un grolo ao seu zume de mazá, moi satisfeito.	1
fa694d55-2291-467e-837e-cee613230e8c	Regado para un día de neve.	Unha tormenta moi forte caera esa noite.	Os seus desexos cumpríronse e a escola foi suspendida!	Pasou todo o día xogando e facendo bonecas de neve.	Reg quixo que nunca volvas a nevar.	Reg esperaba que houbese outro día de neve pronto.	2
37c168f2-e2cc-4117-879a-abcce85af37f	Caroline nunca bebe bebidas con gas.	Os seus amigos chegan con ela por iso.	Un día desafiárona a tomar un refresco.	Caroline quería gañar o reto.	Caroline negouse a abrir o refresco.	Caroline abriu o refresco ... e bebeu todo nunha soa bebida.	2
fb9f8eff-5f05-4cd8-bb99-3ca886845607	Tom e Cindy comían malvaviscos.	Pero Tom comezou a cansar deles.	Cindy suxerido polos Malvaviscos.	E Tom estivo de acordo coa suxestión.	Tom levantouse e foi a nadar.	Tom gozou de malvaviscos asados.	2
f8a23340-dc5f-48d5-82d3-8ab59a6d5042	O delicado home envolveu un bocadillo para un cliente.	Tomou unha bolsa marrón e púxoa no mostrador.	O home delicado tomou o bocadillo e botouno na bolsa.	A bolsa caeu cando o bocadillo estrelou contra ela.	O home delicado dixo que agora o bocadillo lle custaría máis.	O home delicado pediu desculpas.	2
b0c7b950-cea5-460f-b573-a55e692120bc	Bob estaba na tenda de comestibles.	Ao saír, entendeu que esquecera a súa tarxeta de crédito.	A muller que estaba detrás del ofreceuse a pagar a súa compra.	Bob sentiuse moi agradecido.	Prometeu devolvelo.	Bob fuxiu aterrorizado.	1
5df5e38b-ea80-4122-b43e-1cf116a83e6a	Xoán mercou unha nova arma.	Encantáronlles todos os seus elementos de seguridade.	Estaba mostrándoa á súa amiga.	Disparou accidentalmente.	Xoán non tiña pistola.	Xoán quedou abraiado.	2
ba6d9c84-d0d1-4806-964d-2573c08e67c5	Neil visitaba a cidade de Luxor.	Foi unha xira coñecer a historia de Exipto.	Aprenderon moitas cousas.	Despois fixeron unha comida de campo nas beiras do Nilo.	A Neil non lle interesaba a historia de Exipto.	Neil gozou dunha marabillosa experiencia educativa e cultural.	2
98826835-a7e8-4441-b37c-36f2179d7651	A John non lle gustaba arriscarse a probar comida nova.	A súa nai sempre demostrou 2 lanches de algo novo.	Se non lle gustou, non tivo que comelo de novo.	Un día deulle unha repugnante comida de aspecto que se chamaba papaya.	Xoán sabía que a súa granxa de papaya necesitaba un novo investimento de capital.	Xoán comeuno, pero díxolle a súa nai que non quería comela de novo.	2
cc2f14bc-8e8d-4c36-9a14-a7e9e89ac52e	Teño un par de calcetíns que son os meus favoritos.	A semana pasada estaba facendo o elenco.	Perdín un dos dous calcetíns.	Mirei por todas partes e non o atopei.	Contou todos os meus calcetíns.	Finalmente apareceu.	2
bb4840dc-d637-4183-809a-567bb67e9935	Alex cruzou a cidade para chegar a casa dalgúns amigos.	Non sabía que levaba un zapato desatado.	Corría por tres mazás cando pasou.	Tropezou cos seus cordóns.	A próxima carreira de Alex será para un posto no consello escolar.	Alex decidiu comprobar sempre os seus cordóns antes de marchar.	2
60642271-04f8-4129-af92-c0c6bbb206e3	Nina quería camiñar no monopatín.	Pero eu non coñecía a ningunha rapaza que o puidese ensinar.	Comprou o seu propio monopatín.	Comezou a patinar por conta propia, pouco a pouco.	Logo, Nina converteuse na mellor xogadora de baloncesto estatal.	Co paso do tempo, fíxose verdadeiramente bo.	2
08e30459-3e8f-43f0-ac30-a4f367168e45	Sal coma a maxia.	Sempre intentou facer trucos da súa familia.	Un día, intentou sacar un coello do seu sombreiro.	Pero o sombreiro estaba rasgado e o coello caeu.	A xente que o miraba felicitouno.	E así é como o sal renunciou á maxia.	2
59ff9775-7ab2-4aed-8a7c-1c07f9c54755	Lisa quería facer un bolo.	En primeiro lugar, tivo que decidir que tipo de bolo ía cociñar.	Entón, tivo que ir a mercar os ingredientes.	Decidiu facer unha torta de chocolate.	A Lisa encantoulle a cocción.	Lisa odiaba facer bolos.	1
c4d8548b-b1a0-4d5c-8004-bbe77d21b4a4	Javier sempre mirou aos nenos que xogaban a balonmán preto da súa casa.	Quería unirse a eles pero non se atreveu.	Un día, reuniu bastante coraxe para xogar a balonmán con eles.	Descubriu que, en realidade, eran moi agradables.	Javier foi á tenda despois da escola.	Javier comezou a xogar ao balonmán con eles regularmente.	2
f3b25856-827a-42ba-8ca1-0426c1b01219	Gordon mercou un coche de control remoto para o Nadal.	Pero entendeu que necesitaba baterías AA.	Gordon non atopou ningún.	Entón, ao día seguinte, foi á tenda de xoguetes onde comprara o coche.	Comprou un gran paquete de baterías AA.	Mercouse outro coche de control remoto para el.	1
31e7354c-de3a-433b-afcf-fa8885569007	Mim conducía pola estrada, no medio dunha forte tormenta de neve.	Había tanta neve que MIM detivo o coche.	Advertiu que outras persoas facían o mesmo.	Tomou unha manta de emerxencia do asento traseiro e comeu un lanche.	Mim volveu á estrada e dirixiuse máis rápido para recuperar o tempo perdido.	Ao final, deixou de nevar.	2
64abf5b2-354d-405a-a0c1-ba141fba015a	Onte a miña nai -in -law chamoume porque quería ir ás tendas.	El colleume ás 4:30 e marchamos.	Pasamos dunha tenda a outra en busca de boas ofertas.	Pero nin un só tiña nada bo para mercar.	Levamos seis bolsas cheas de cousas a casa.	Volvemos a casa sen amarrar nada.	2
eb47c2c9-e8c7-4677-8c45-840deb78545c	Batsy corría por todas partes.	Estaba correndo cara á escola cando pasou.	Atopouse e voou varios metros.	Un brazo rompeu por varios sitios.	Betsy tivo que levala ao hospital para ser colocado en xeso.	Entón, Betsy xogou ao tenis.	1
8cc7c8cf-053b-48e2-8d4d-6f520490e9ac	Sarah estaba horrorizada por nenas.	Ela choraba cada vez que a levaban ao parque infantil.	Finalmente, a semana pasada intentou balance por primeira vez.	Gustoulle tanto que estivo balanceando unha hora.	O balance conmocionou violentamente por mor do vento.	O seu medo desapareceu ao balance.	2
